Fecha del mensaje,Nombre del remitente,Texto
2025-11-03 10:24:21,Vicente,"Hola David, hoy si. Te llamo en un momento para platicar"
2025-11-03 10:33:14,Vicente,Seat tarraco blanca. Placas de Veracruz terminación 222A. Llegan al fit integra la salle que está casi a espaldas de Manacar aproximadamente 445 y están ahí de 5 a 6. Se estaciona casi siempre sobre la calle Cataluña
2025-11-03 10:33:36,Vicente,https://maps.app.goo.gl/wGi9wRVCAH54zGSq7?g_st=ipc
2025-11-03 10:34:00,David,De acuerdo
2025-11-03 10:35:06,David,Ubico bien la zona
2025-11-03 10:36:43,Vicente,"Súper. El vehículo tenía un golpe en la salpicadera derecha y quedó marcada con pintura verde de microbús pero ""en teoría"" ya lo repararon.
Es una camioneta familiar, de referencia trae un atrapasuenos colgado en el retrovisor"
2025-11-03 10:36:52,Vicente,No se que más datos te puedan servir
2025-11-03 10:37:21,David,Con eso está bien
2025-11-03 10:52:28,Vicente,"Va que va, cualquier cosa me echas una llamada. Platicamos más tarde"
2025-11-03 10:52:31,Vicente,Muchas gracias
2025-11-03 10:55:20,David,"Si, estamos en contacto"
2025-11-03 15:27:10,David,Vicente
2025-11-03 15:27:26,Vicente,Dime
2025-11-03 15:27:37,David,Me pidieron quedarme un tiempo más en el trabajo y apenas voy a salir
2025-11-03 15:27:44,David,Pensé que no tardaría
2025-11-03 15:27:54,David,Me voy a ir directo
2025-11-03 15:28:02,David,Al parecer hago 40 minutos
2025-11-03 15:29:17,Vicente,"A ver si llegas, sino el miércoles le intentamos de nuevo"
2025-11-03 15:29:36,David,Parece que si llego
2025-11-03 15:29:53,David,Te escribo en cuanto esté ahí
2025-11-03 16:31:44,David,Llegue como 6:20
2025-11-03 16:32:36,David,No la vi
2025-11-03 16:32:57,Vicente,Si ya era bien tarde
2025-11-03 16:33:06,Vicente,Me avisó que salía como 555
2025-11-03 16:33:18,Vicente,Puedes el miercoles de nuevo?
2025-11-03 16:33:24,Vicente,Pásame tu cuenta por cierto
2025-11-03 16:33:54,David,Creo que se fue
2025-11-03 16:33:54,David,Si el miércoles sin falta
2025-11-03 16:34:18,David,Si ya era tarde
2025-11-03 16:34:40,David,"Hoy tuvimos una emergencia en la torre donde trabajo y no salí a tiempo, pero ya sin falta el miércoles ahí estaré"
2025-11-03 16:42:16,Vicente,"No te preocupes, mientras tengas chance de echarme la mano"
2025-11-05 13:19:55,Vicente,"Hola David, vas a tener chance hoy?"
2025-11-05 13:25:37,David,Hola
2025-11-05 13:25:42,David,Cómo te va?
2025-11-05 13:25:50,David,Si hoy si ya voy de salida del trabajo
2025-11-05 15:05:26,Vicente,Me ocupé
2025-11-05 15:05:37,Vicente,"Va que va, muchas gracias"
2025-11-05 15:05:41,Vicente,Esperemos que ahora sí
2025-11-05 15:52:27,David,Ya estoy aquí
2025-11-05 15:52:29,David,Esperando
2025-11-05 15:52:48,Vicente,Si está la camioneta?
2025-11-05 16:01:32,David,No
2025-11-05 16:01:35,David,Desde las 5:40
2025-11-05 16:01:37,David,No está
2025-11-05 16:02:18,Vicente,Mta madre
2025-11-05 16:02:42,David,En la plaza no la mete?
2025-11-05 16:02:45,Vicente,Pues si quieres aguanta unos 10 y si no la ves ni al rededor no vale la pena quedarse
2025-11-05 16:03:10,Vicente,No siempre por ahí al rededor y casi siempre mero enfrente de la entrada
2025-11-05 16:03:17,Vicente,Es raro que no haya lugar
2025-11-05 16:03:38,Vicente,Pero a la plaza no la mete
2025-11-05 16:03:40,David,Ya di varias vueltas alrededor y no está
2025-11-05 16:04:19,David,Si di vueltas en las calles de alrededor
2025-11-05 16:04:42,Vicente,"Pues si no está dale, no se si el viernes vayas a poder pero no le veo caso"
2025-11-05 16:05:04,Vicente,Quitarte tiempo hoy
2025-11-05 16:05:10,David,Pero no está estacionada
2025-11-05 16:05:18,David,"Okay, espero un poco"
2025-11-05 17:42:28,Vicente,Nada verdad? Pásame tu cuenta no quiero que pienses que me voy a hacer wey
2025-11-05 17:59:37,David,Y si fue hoy?
2025-11-05 18:00:01,David,No la vi
2025-11-05 18:01:37,David,1503779502
2025-11-05 18:01:49,David,Es de Bancomer
2025-11-05 18:35:49,Vicente,No le pregunté me dijo que salió temprano del trabajo pero tampoco le quiero preguntar a cada rato para que no le brinque alguna idea
2025-11-05 18:35:53,Vicente,En teoría siempre va
2025-11-05 18:42:24,David,Entiendo
2025-11-05 18:42:33,David,Estaré antes el viernes
2025-11-05 18:42:57,David,5:30
2025-11-06 15:25:43,Vicente,"Hola David, ayer me ocupé una disculpa"
2025-11-06 15:25:50,Vicente,Pero ya te transferí
2025-11-06 17:04:06,David,Vicente muchas gracias
2025-11-06 17:04:13,David,Mañana estaré ahí
2025-11-07 14:33:37,Vicente,"Hola David, puedes hoy?"
2025-11-07 14:34:10,David,Hola Vicente
2025-11-07 14:34:12,David,Ya estoy aquí
2025-11-07 14:36:36,Vicente,"Buenísimo, espero corras con mejor suerte que otras veces"
2025-11-07 14:43:57,David,Se supone que está por llegar
2025-11-07 14:47:47,David,Ya la vi Vicente
2025-11-07 14:48:30,David,Se bajó una señora grande con un niño y venía manejando una mujer más joven
2025-11-07 14:48:54,Vicente,Ellos son
2025-11-07 14:49:28,David,De acuerdo
2025-11-07 16:26:38,David,Aquí sigue en el fit
2025-11-07 16:32:39,Vicente,Ok ok
2025-11-07 16:33:16,Vicente,Me dices si alguien más se va aparte de los que llegaron por favor y pues lo otro que ya platicamos
2025-11-07 16:34:31,David,Ok
2025-11-10 14:58:04,Vicente,Hoy pasas?
2025-11-10 14:58:09,Vicente,"Hola, como doy lata"
2025-11-10 19:20:57,David,Vicente buenas tardes
2025-11-10 19:20:57,David,"Estoy en la entrega de programas de mantenimiento, en una junta del trabajo. No hemos terminado y no creo que llegue hoy a manacar a tiempo"
2025-11-11 19:25:54,Vicente,"Hola, apenas tengo señal"
2025-11-11 19:26:05,Vicente,Cómo te fue?
2025-11-12 05:17:23,David,Hola Vicente buen día
2025-11-12 05:18:17,David,"No fue a la escuela o lo recogió caminando, porque de las 3:30 a las 4:15 que estuve ahí no ví la camioneta"
2025-11-12 06:15:38,Vicente,"Hola, buen día. Algo estuvo raro ayer creo que si te pediría seguirle  intentando, por tu tiempo no te preocupes te transfiero mañana. Si puedes hoy una vuelta a la escuela y si no a la alberca"
2025-11-12 06:15:48,Vicente,Seguimos sin red en el trabajo
2025-11-12 06:15:58,Vicente,Pero busco como llamarte más tarde
2025-11-12 19:21:26,David,"Vicente, de la escuela a tu casa todo normal"
2025-11-12 19:21:27,David,De ahí me fui al fit integra
2025-11-12 19:21:27,David,"Llegó la camioneta, pero no la iba manejando tu esposa, la iba manejando un joven"
2025-11-12 19:21:27,David,Entonces espere hasta que salió
2025-11-12 19:21:28,David,"Solo iba el joven y el niño. Los empecé a seguir. Pero siento que se dió cuenta, porque a pesar de que me quedaba muy atrás, se detuvo dos veces donde ya no había tránsito. Entonces no se si se dió cuenta, pero en ese momento decidí dejar de seguirlos."
2025-11-12 19:21:28,David,Siento que si se había dado cuenta se iba a arruinar todo
2025-11-12 19:21:28,David,"El camino que iba tomando fue el mismo que tú esposa tomo el viernes, fue en el estadio azul que mejor me desvié y ya no los seguí."
2025-11-12 20:13:55,Vicente,Gracias
2025-11-12 20:14:33,David,No hay de qué
2025-11-12 20:15:05,Vicente,Con cuidado
2025-11-12 20:15:13,Vicente,Mañana queda lo otro
2025-11-12 20:42:13,David,"No pienses eso, ni siquiera dejaría que se acerque a mi, de inmediato me iría y te lo diría"
2025-11-12 20:42:32,Vicente,Es canija
2025-11-12 20:42:46,Vicente,Aquel me dijo que eras de confianza
2025-11-12 20:43:22,Vicente,Pero lejos y con lo que platicamos me empieza a girar la
2025-11-12 20:43:24,Vicente,Ardilla
2025-11-12 20:43:36,Vicente,Y es que hay cosas que como que no me cuadran
